sample_id,site,habitat,species_name,species_type,count,biomass_g,sampling_date,season,temperature_c,humidity_percent,elevation_m,latitude,longitude,conservation_status,invasive
ECO001,Site_A,Forest,Quercus_robur,Tree,12,0,2024-03-15,Spring,14.5,68,245,42.35,-3.72,Least_Concern,No
ECO002,Site_A,Forest,Parus_major,Bird,8,185,2024-03-15,Spring,14.5,68,245,42.35,-3.72,Least_Concern,No
ECO003,Site_A,Forest,Sciurus_vulgaris,Mammal,3,825,2024-03-15,Spring,14.5,68,245,42.35,-3.72,Near_Threatened,No
ECO004,Site_A,Forest,Amanita_muscaria,Fungi,15,120,2024-03-15,Spring,14.5,68,245,42.35,-3.72,Least_Concern,No
ECO005,Site_B,Grassland,Festuca_pratensis,Grass,0,2500,2024-03-18,Spring,16.2,55,180,42.28,-3.65,Least_Concern,No
ECO006,Site_B,Grassland,Alauda_arvensis,Bird,5,165,2024-03-18,Spring,16.2,55,180,42.28,-3.65,Vulnerable,No
ECO007,Site_B,Grassland,Microtus_arvalis,Mammal,12,360,2024-03-18,Spring,16.2,55,180,42.28,-3.65,Least_Concern,No
ECO008,Site_B,Grassland,Papaver_rhoeas,Flower,45,85,2024-03-18,Spring,16.2,55,180,42.28,-3.65,Least_Concern,No
ECO009,Site_C,Wetland,Phragmites_australis,Reed,0,4200,2024-03-20,Spring,12.8,82,95,42.42,-3.58,Least_Concern,Yes
ECO010,Site_C,Wetland,Ardea_cinerea,Bird,2,3200,2024-03-20,Spring,12.8,82,95,42.42,-3.58,Least_Concern,No
ECO011,Site_C,Wetland,Lutra_lutra,Mammal,1,8500,2024-03-20,Spring,12.8,82,95,42.42,-3.58,Near_Threatened,No
ECO012,Site_C,Wetland,Rana_temporaria,Amphibian,18,540,2024-03-20,Spring,12.8,82,95,42.42,-3.58,Least_Concern,No
ECO013,Site_A,Forest,Fagus_sylvatica,Tree,8,0,2024-06-22,Summer,22.5,58,245,42.35,-3.72,Least_Concern,No
ECO014,Site_A,Forest,Certhia_brachydactyla,Bird,4,35,2024-06-22,Summer,22.5,58,245,42.35,-3.72,Least_Concern,No
ECO015,Site_A,Forest,Erinaceus_europaeus,Mammal,2,1650,2024-06-22,Summer,22.5,58,245,42.35,-3.72,Least_Concern,No
ECO016,Site_A,Forest,Boletus_edulis,Fungi,6,480,2024-06-22,Summer,22.5,58,245,42.35,-3.72,Least_Concern,No
ECO017,Site_B,Grassland,Dactylis_glomerata,Grass,0,1850,2024-06-25,Summer,25.8,42,180,42.28,-3.65,Least_Concern,No
ECO018,Site_B,Grassland,Coturnix_coturnix,Bird,3,285,2024-06-25,Summer,25.8,42,180,42.28,-3.65,Least_Concern,No
ECO019,Site_B,Grassland,Lepus_europaeus,Mammal,4,14200,2024-06-25,Summer,25.8,42,180,42.28,-3.65,Least_Concern,No
ECO020,Site_B,Grassland,Centaurea_cyanus,Flower,28,45,2024-06-25,Summer,25.8,42,180,42.28,-3.65,Vulnerable,No
ECO021,Site_C,Wetland,Typha_latifolia,Reed,0,3800,2024-06-28,Summer,21.2,75,95,42.42,-3.58,Least_Concern,No
ECO022,Site_C,Wetland,Anas_platyrhynchos,Bird,12,13200,2024-06-28,Summer,21.2,75,95,42.42,-3.58,Least_Concern,No
ECO023,Site_C,Wetland,Castor_fiber,Mammal,2,42000,2024-06-28,Summer,21.2,75,95,42.42,-3.58,Least_Concern,No
ECO024,Site_C,Wetland,Triturus_cristatus,Amphibian,8,120,2024-06-28,Summer,21.2,75,95,42.42,-3.58,Near_Threatened,No
ECO025,Site_D,Urban,Platanus_hispanica,Tree,5,0,2024-06-30,Summer,28.5,38,320,42.38,-3.70,Least_Concern,No
ECO026,Site_D,Urban,Passer_domesticus,Bird,35,875,2024-06-30,Summer,28.5,38,320,42.38,-3.70,Least_Concern,No
ECO027,Site_D,Urban,Rattus_norvegicus,Mammal,8,2400,2024-06-30,Summer,28.5,38,320,42.38,-3.70,Least_Concern,Yes
ECO028,Site_D,Urban,Ailanthus_altissima,Tree,3,0,2024-06-30,Summer,28.5,38,320,42.38,-3.70,Least_Concern,Yes
