respondent_id,age,gender,education,field,q1_satisfaction,q2_usefulness,q3_ease_of_use,q4_recommend,q5_frequency,years_experience,institution_type
R001,28,Female,PhD,Biology,4,5,4,5,3,3,University
R002,32,Male,PhD,Chemistry,5,5,5,5,4,7,University
R003,29,Female,Masters,Physics,3,4,3,4,2,2,Research_Institute
R004,35,Male,PhD,Biology,4,4,4,4,3,8,University
R005,31,Non-binary,PhD,Neuroscience,5,5,4,5,5,5,Hospital
R006,27,Female,Masters,Chemistry,4,5,5,5,4,2,Industry
R007,33,Male,PhD,Environmental_Science,3,3,4,3,2,6,University
R008,30,Female,PhD,Biology,5,5,5,5,5,4,Research_Institute
R009,26,Male,Masters,Physics,4,4,3,4,3,1,University
R010,38,Female,PhD,Biochemistry,4,5,4,5,4,12,University
R011,29,Male,PhD,Genetics,5,4,4,4,3,3,Hospital
R012,34,Female,Masters,Materials_Science,3,4,4,4,3,5,Industry
R013,31,Male,PhD,Ecology,4,5,5,5,4,4,Research_Institute
R014,28,Female,PhD,Molecular_Biology,5,5,4,5,5,2,University
R015,36,Male,PhD,Chemistry,4,4,3,4,2,9,University
R016,25,Female,Masters,Bioinformatics,5,5,5,5,5,1,University
R017,32,Non-binary,PhD,Neuroscience,4,5,4,5,4,6,Hospital
R018,29,Female,PhD,Physics,3,4,4,4,3,3,Research_Institute
R019,41,Male,PhD,Environmental_Science,4,4,4,4,3,15,University
R020,27,Female,Masters,Chemistry,5,5,5,5,4,2,Industry
R021,30,Male,PhD,Biology,4,5,4,5,4,4,University
R022,33,Female,PhD,Genetics,5,5,5,5,5,7,Research_Institute
R023,28,Male,Masters,Biochemistry,3,4,3,3,2,2,University
R024,35,Female,PhD,Ecology,4,4,4,4,3,8,University
R025,29,Non-binary,PhD,Molecular_Biology,5,5,4,5,4,3,Hospital
R026,31,Male,PhD,Materials_Science,4,5,5,5,4,5,Industry
R027,26,Female,Masters,Bioinformatics,4,4,4,4,4,1,University
R028,37,Male,PhD,Neuroscience,5,5,4,5,3,10,Research_Institute
R029,30,Female,PhD,Chemistry,4,4,4,4,3,4,University
R030,28,Male,PhD,Physics,3,3,3,3,2,2,University
R031,34,Female,PhD,Biology,5,5,5,5,5,7,Hospital
R032,32,Male,Masters,Environmental_Science,4,4,4,4,3,5,Research_Institute
R033,29,Female,PhD,Genetics,4,5,4,5,4,3,University
R034,27,Non-binary,Masters,Biochemistry,5,5,5,5,4,2,Industry
R035,39,Male,PhD,Ecology,4,4,3,4,2,12,University
